"registro_id","tesis_id","tecnica_id","lugar","created_at","updated_at","error_id"
"98","19","3","Población y muestra",NULL,NULL,"2"
"99","19","4","Población y muestra",NULL,NULL,"2"
"100","19","2","Análisis e interpretación de la información",NULL,NULL,"2"
"101","19","6","Análisis e interpretación de la información",NULL,NULL,"3"
"102","21","1","Técnicas e instrumentos",NULL,NULL,"1"
"103","21","31","Análisis e interpretación de la información",NULL,NULL,"16"
"104","21","2","Anexos",NULL,NULL,"2"
"105","22","1","Técnicas e instrumentos",NULL,NULL,"1"
"106","22","32","Técnicas e instrumentos",NULL,NULL,"1"
"107","22","20","Técnicas e instrumentos",NULL,NULL,"20"
"108","22","33","Técnicas e instrumentos",NULL,NULL,"2"
"109","22","34","Técnicas e instrumentos",NULL,NULL,"2"
"110","22","12","Análisis e interpretación de la información",NULL,NULL,"2"
"111","22","11","Análisis e interpretación de la información",NULL,NULL,"2"
"112","22","2","Análisis e interpretación de la información",NULL,NULL,"2"
"113","23","32","Técnicas e instrumentos",NULL,NULL,"23"
"114","23","1","Técnicas e instrumentos",NULL,NULL,"1"
"115","23","23","Técnicas e instrumentos",NULL,NULL,"5"
"116","23","12","Análisis e interpretación de la información",NULL,NULL,"2"
"117","23","11","Análisis e interpretación de la información",NULL,NULL,"2"
"118","23","2","Análisis e interpretación de la información",NULL,NULL,"2"
"119","24","1","Técnicas e instrumentos",NULL,NULL,"2"
"120","24","7","Técnicas e instrumentos",NULL,NULL,"2"
"121","24","96","Técnicas e instrumentos",NULL,NULL,"2"
"122","24","36","Técnicas e instrumentos",NULL,NULL,"2"
"123","24","6","Análisis e interpretación de la información",NULL,NULL,"3"
"124","24","2","Análisis e interpretación de la información",NULL,NULL,"2"
"125","25","1","Técnicas e instrumentos",NULL,NULL,"2"
"126","25","37","Población y muestra",NULL,NULL,"2"
"127","25","12","Análisis e interpretación de la información",NULL,NULL,"2"
"128","25","2","Análisis e interpretación de la información",NULL,NULL,"2"
"129","25","13","Análisis e interpretación de la información",NULL,NULL,"15"
"130","26","38","Fundamentación teórica",NULL,NULL,"2"
"131","26","1","Técnicas e instrumentos",NULL,NULL,"1"
"132","26","20","Técnicas e instrumentos",NULL,NULL,"11"
"133","26","33","Técnicas e instrumentos",NULL,NULL,"23"
"134","26","34","Técnicas e instrumentos",NULL,NULL,"23"
"135","26","2","Análisis e interpretación de la información",NULL,NULL,"2"
"136","26","6","Análisis e interpretación de la información",NULL,NULL,"3"
"137","26","12","Análisis e interpretación de la información",NULL,NULL,"2"
"138","26","11","Análisis e interpretación de la información",NULL,NULL,"2"
"139","26","18","Anexos",NULL,NULL,"2"
"140","26","39","Anexos",NULL,NULL,"2"
"141","27","32","Técnicas e instrumentos",NULL,NULL,"1"
"142","27","1","Técnicas e instrumentos",NULL,NULL,"1"
"143","27","23","Técnicas e instrumentos",NULL,NULL,"5"
"144","27","13","Análisis e interpretación de la información",NULL,NULL,"24"
"145","27","2","Análisis e interpretación de la información",NULL,NULL,"2"
"146","28","1","Técnicas e instrumentos",NULL,NULL,"2"
"147","28","20","Técnicas e instrumentos",NULL,NULL,"11"
"148","28","3","Técnicas e instrumentos",NULL,NULL,"2"
"149","28","40","Técnicas e instrumentos",NULL,NULL,"2"
"150","28","41","Técnicas e instrumentos",NULL,NULL,"2"
"151","28","4","Técnicas e instrumentos",NULL,NULL,"2"
"152","28","42","Técnicas e instrumentos",NULL,NULL,"2"
"153","28","43","Técnicas e instrumentos",NULL,NULL,"2"
"154","28","44","Técnicas e instrumentos",NULL,NULL,"2"
"155","28","45","Técnicas e instrumentos",NULL,NULL,"2"
"156","28","2","Población y muestra",NULL,NULL,"2"
"157","28","2","Análisis e interpretación de la información",NULL,NULL,"2"
"158","28","3","Análisis e interpretación de la información",NULL,NULL,"2"
"159","28","4","Análisis e interpretación de la información",NULL,NULL,"2"
"160","28","46","Análisis e interpretación de la información",NULL,NULL,"2"
"161","28","47","Análisis e interpretación de la información",NULL,NULL,"2"
"162","28","12","Análisis e interpretación de la información",NULL,NULL,"2"
"163","28","11","Análisis e interpretación de la información",NULL,NULL,"2"
"164","28","31","Análisis e interpretación de la información",NULL,NULL,"16"
"165","28","48","Análisis e interpretación de la información",NULL,NULL,"16"
"166","28","14","Anexos",NULL,NULL,"2"
"167","29","9","Técnicas e instrumentos",NULL,NULL,"1"
"168","29","1","Técnicas e instrumentos",NULL,NULL,"2"
"169","29","20","Técnicas e instrumentos",NULL,NULL,"20"
"170","29","33","Técnicas e instrumentos",NULL,NULL,"23"
"171","29","49","Técnicas e instrumentos",NULL,NULL,"2"
"172","29","2","Población y muestra",NULL,NULL,"2"
"173","29","12","Análisis e interpretación de la información",NULL,NULL,"2"
"174","29","11","Análisis e interpretación de la información",NULL,NULL,"2"
"175","29","2","Análisis e interpretación de la información",NULL,NULL,"2"
"176","29","14","Anexos",NULL,NULL,"2"
"177","30","1","Técnicas e instrumentos",NULL,NULL,"1"
"178","30","2","Análisis e interpretación de la información",NULL,NULL,"2"
"179","30","50","Análisis e interpretación de la información",NULL,NULL,"16"
"180","31","51","Técnicas e instrumentos",NULL,NULL,"25"
"181","31","23","Técnicas e instrumentos",NULL,NULL,"2"
"182","31","1","Técnicas e instrumentos",NULL,NULL,"2"
"183","31","52","Población y muestra",NULL,NULL,"2"
"184","31","12","Análisis e interpretación de la información",NULL,NULL,"2"
"185","31","6","Análisis e interpretación de la información",NULL,NULL,"3"
"186","31","11","Análisis e interpretación de la información",NULL,NULL,"2"
"187","32","23","Técnicas e instrumentos",NULL,NULL,"2"
"188","32","8","Técnicas e instrumentos",NULL,NULL,"2"
"189","32","16","Técnicas e instrumentos",NULL,NULL,"2"
"190","32","1","Técnicas e instrumentos",NULL,NULL,"1"
"191","32","7","Técnicas e instrumentos",NULL,NULL,"2"
"192","32","53","Técnicas e instrumentos",NULL,NULL,"2"
"193","32","96","Técnicas e instrumentos",NULL,NULL,"2"
"194","32","26","Técnicas e instrumentos",NULL,NULL,"2"
"195","32","13","Análisis e interpretación de la información",NULL,NULL,"6"
"196","32","2","Análisis e interpretación de la información",NULL,NULL,"2"
"197","32","11","Análisis e interpretación de la información",NULL,NULL,"26"
"198","32","14","Anexos",NULL,NULL,"2"
"199","33","20","Técnicas e instrumentos",NULL,NULL,"20"
"200","33","37","Población y muestra",NULL,NULL,"27"
"201","33","2","Análisis e interpretación de la información",NULL,NULL,"2"
"202","33","11","Análisis e interpretación de la información",NULL,NULL,"2"
"203","33","12","Análisis e interpretación de la información",NULL,NULL,"2"
"204","34","1","Técnicas e instrumentos",NULL,NULL,"1"
"205","34","10","Técnicas e instrumentos",NULL,NULL,"2"
"206","34","20","Técnicas e instrumentos",NULL,NULL,"20"
"207","34","8","Técnicas e instrumentos",NULL,NULL,"2"
"208","34","48","Técnicas e instrumentos",NULL,NULL,"28"
"209","34","2","Población y muestra",NULL,NULL,"2"
"210","34","2","Análisis e interpretación de la información",NULL,NULL,"2"
"211","34","12","Análisis e interpretación de la información",NULL,NULL,"2"
"212","34","6","Análisis e interpretación de la información",NULL,NULL,"3"
"213","35","1","Técnicas e instrumentos",NULL,NULL,"1"
"214","35","9","Técnicas e instrumentos",NULL,NULL,"1"
"215","35","20","Técnicas e instrumentos",NULL,NULL,"20"
"216","35","15","Técnicas e instrumentos",NULL,NULL,"8"
"217","35","2","Población y muestra",NULL,NULL,"2"
"218","35","2","Análisis e interpretación de la información",NULL,NULL,"2"
"219","35","55","Análisis e interpretación de la información",NULL,NULL,"29"
"220","35","11","Análisis e interpretación de la información",NULL,NULL,"2"
"221","36","1","Técnicas e instrumentos",NULL,NULL,"1"
"222","36","8","Técnicas e instrumentos",NULL,NULL,"2"
"223","36","20","Técnicas e instrumentos",NULL,NULL,"11"
"224","36","54","Técnicas e instrumentos",NULL,NULL,"1"
"225","36","2","Población y muestra",NULL,NULL,"2"
"226","36","2","Análisis e interpretación de la información",NULL,NULL,"2"
"227","36","12","Análisis e interpretación de la información",NULL,NULL,"2"
"228","36","56","Análisis e interpretación de la información",NULL,NULL,"30"
"229","37","1","Técnicas e instrumentos",NULL,NULL,"1"
"230","37","2","Análisis e interpretación de la información",NULL,NULL,"2"
"231","37","12","Análisis e interpretación de la información",NULL,NULL,"2"
"232","37","11","Análisis e interpretación de la información",NULL,NULL,"2"
"233","38","57","Fundamentación teórica",NULL,NULL,"31"
"234","38","40","Fundamentación teórica",NULL,NULL,"2"
"235","38","1","Técnicas e instrumentos",NULL,NULL,"1"
"236","38","16","Técnicas e instrumentos",NULL,NULL,"12"
"237","38","13","Análisis e interpretación de la información",NULL,NULL,"22"
"238","38","11","Análisis e interpretación de la información",NULL,NULL,"32"
"239","39","1","Técnicas e instrumentos",NULL,NULL,"1"
"240","39","22","Técnicas e instrumentos",NULL,NULL,"2"
"241","39","21","Técnicas e instrumentos",NULL,NULL,"2"
"242","39","20","Técnicas e instrumentos",NULL,NULL,"11"
"243","39","2","Análisis e interpretación de la información",NULL,NULL,"2"
"244","39","12","Análisis e interpretación de la información",NULL,NULL,"2"
"245","39","6","Análisis e interpretación de la información",NULL,NULL,"2"
"246","40","13","Técnicas e instrumentos",NULL,NULL,"5"
"247","40","9","Técnicas e instrumentos",NULL,NULL,"2"
"248","40","32","Técnicas e instrumentos",NULL,NULL,"2"
"249","40","12","Análisis e interpretación de la información",NULL,NULL,"2"
"250","40","11","Análisis e interpretación de la información",NULL,NULL,"2"
"251","41","3","Técnicas e instrumentos",NULL,NULL,"33"
"252","41","1","Técnicas e instrumentos",NULL,NULL,"21"
"253","41","3","Población y muestra",NULL,NULL,"2"
"254","41","4","Población y muestra",NULL,NULL,"2"
"255","41","2","Análisis e interpretación de la información",NULL,NULL,"2"
"256","41","3","Análisis e interpretación de la información",NULL,NULL,"2"
"257","41","4","Análisis e interpretación de la información",NULL,NULL,"2"
"258","41","46","Análisis e interpretación de la información",NULL,NULL,"2"
"259","41","47","Análisis e interpretación de la información",NULL,NULL,"2"
"260","41","12","Análisis e interpretación de la información",NULL,NULL,"2"
"261","41","11","Análisis e interpretación de la información",NULL,NULL,"2"
"262","41","13","Análisis e interpretación de la información",NULL,NULL,"16"
"263","41","58","Análisis e interpretación de la información",NULL,NULL,"16"
"264","41","59","Análisis e interpretación de la información",NULL,NULL,"2"
"265","42","12","Análisis e interpretación de la información",NULL,NULL,"2"
"266","42","13","Análisis e interpretación de la información",NULL,NULL,"16"
"267","42","11","Análisis e interpretación de la información",NULL,NULL,"2"
"268","42","3","Análisis e interpretación de la información",NULL,NULL,"2"
"269","43","9","Técnicas e instrumentos",NULL,NULL,"2"
"270","43","19","Técnicas e instrumentos",NULL,NULL,"10"
"271","43","1","Técnicas e instrumentos",NULL,NULL,"2"
"272","43","13","Técnicas e instrumentos",NULL,NULL,"5"
"273","43","37","Población y muestra",NULL,NULL,"2"
"274","43","2","Población y muestra",NULL,NULL,"2"
"275","43","60","Análisis e interpretación de la información",NULL,NULL,"34"
"276","43","12","Análisis e interpretación de la información",NULL,NULL,"2"
"277","43","11","Análisis e interpretación de la información",NULL,NULL,"2"
"278","43","61","Anexos",NULL,NULL,"2"
"279","43","3","Anexos",NULL,NULL,"2"
"280","43","4","Anexos",NULL,NULL,"2"
"281","43","46","Anexos",NULL,NULL,"2"
"282","43","47","Anexos",NULL,NULL,"2"
"283","44","1","Técnicas e instrumentos",NULL,NULL,"2"
"284","44","2","Población y muestra",NULL,NULL,"2"
"285","44","2","Análisis e interpretación de la información",NULL,NULL,"2"
"286","44","12","Análisis e interpretación de la información",NULL,NULL,"2"
"287","44","11","Análisis e interpretación de la información",NULL,NULL,"2"
"288","45","13","Técnicas e instrumentos",NULL,NULL,"1"
"289","45","1","Técnicas e instrumentos",NULL,NULL,"9"
"290","45","2","Análisis e interpretación de la información",NULL,NULL,"2"
"291","45","13","Análisis e interpretación de la información",NULL,NULL,"16"
"292","45","12","Análisis e interpretación de la información",NULL,NULL,"2"
"293","45","11","Análisis e interpretación de la información",NULL,NULL,"2"
"294","45","14","Anexos",NULL,NULL,"7"
"295","46","1","Técnicas e instrumentos",NULL,NULL,"1"
"296","46","2","Análisis e interpretación de la información",NULL,NULL,"2"
"297","46","12","Análisis e interpretación de la información",NULL,NULL,"2"
"298","46","11","Análisis e interpretación de la información",NULL,NULL,"2"
"299","47","9","Técnicas e instrumentos",NULL,NULL,"2"
"300","47","13","Técnicas e instrumentos",NULL,NULL,"5"
"301","47","1","Técnicas e instrumentos",NULL,NULL,"1"
"302","47","16","Técnicas e instrumentos",NULL,NULL,"12"
"303","47","13","Análisis e interpretación de la información",NULL,NULL,"22"
"304","47","2","Análisis e interpretación de la información",NULL,NULL,"2"
"305","48","1","Técnicas e instrumentos",NULL,NULL,"1"
"306","48","20","Técnicas e instrumentos",NULL,NULL,"20"
"307","48","22","Técnicas e instrumentos",NULL,NULL,"2"
"308","48","21","Técnicas e instrumentos",NULL,NULL,"2"
"309","48","34","Técnicas e instrumentos",NULL,NULL,"2"
"310","48","2","Análisis e interpretación de la información",NULL,NULL,"2"
"311","48","12","Análisis e interpretación de la información",NULL,NULL,"2"
"312","48","11","Análisis e interpretación de la información",NULL,NULL,"2"
"313","48","6","Análisis e interpretación de la información",NULL,NULL,"2"
"314","49","20","Técnicas e instrumentos",NULL,NULL,"20"
"315","49","1","Técnicas e instrumentos",NULL,NULL,"1"
"316","49","16","Técnicas e instrumentos",NULL,NULL,"2"
"317","49","22","Técnicas e instrumentos",NULL,NULL,"2"
"318","49","21","Técnicas e instrumentos",NULL,NULL,"2"
"319","49","2","Población y muestra",NULL,NULL,"2"
"320","49","2","Análisis e interpretación de la información",NULL,NULL,"2"
"321","49","12","Análisis e interpretación de la información",NULL,NULL,"2"
"322","49","11","Análisis e interpretación de la información",NULL,NULL,"2"
"323","50","12","Análisis e interpretación de la información",NULL,NULL,"2"
"324","50","11","Análisis e interpretación de la información",NULL,NULL,"2"
"325","51","1","Técnicas e instrumentos",NULL,NULL,"1"
"326","51","2","Población y muestra",NULL,NULL,"2"
"327","51","2","Análisis e interpretación de la información",NULL,NULL,"2"
"328","51","12","Análisis e interpretación de la información",NULL,NULL,"2"
"329","51","11","Análisis e interpretación de la información",NULL,NULL,"2"
"330","52","2","Población y muestra",NULL,NULL,"2"
"331","52","2","Análisis e interpretación de la información",NULL,NULL,"2"
"332","52","12","Análisis e interpretación de la información",NULL,NULL,"2"
"333","52","11","Análisis e interpretación de la información",NULL,NULL,"2"
"334","53","2","Análisis e interpretación de la información",NULL,NULL,"2"
"335","53","18","Análisis e interpretación de la información",NULL,NULL,"2"
"336","53","3","Análisis e interpretación de la información",NULL,NULL,"2"
"337","53","4","Análisis e interpretación de la información",NULL,NULL,"2"
"338","53","46","Análisis e interpretación de la información",NULL,NULL,"2"
"339","53","47","Análisis e interpretación de la información",NULL,NULL,"2"
"340","53","43","Análisis e interpretación de la información",NULL,NULL,"2"
"341","53","44","Análisis e interpretación de la información",NULL,NULL,"2"
"342","53","13","Análisis e interpretación de la información",NULL,NULL,"35"
"343","53","14","Anexos",NULL,NULL,"2"
"344","54","10","Técnicas e instrumentos",NULL,NULL,"2"
"345","54","1","Técnicas e instrumentos",NULL,NULL,"2"
"346","54","9","Técnicas e instrumentos",NULL,NULL,"36"
"347","54","2","Población y muestra",NULL,NULL,"2"
"348","54","2","Análisis e interpretación de la información",NULL,NULL,"2"
"349","54","12","Análisis e interpretación de la información",NULL,NULL,"2"
"350","54","11","Análisis e interpretación de la información",NULL,NULL,"2"
"351","54","13","Análisis e interpretación de la información",NULL,NULL,"22"
"352","55","7","Técnicas e instrumentos",NULL,NULL,"12"
"353","55","1","Técnicas e instrumentos",NULL,NULL,"1"
"354","55","63","Técnicas e instrumentos",NULL,NULL,"7"
"355","55","2","Población y muestra",NULL,NULL,"2"
"356","55","12","Análisis e interpretación de la información",NULL,NULL,"2"
"357","55","11","Análisis e interpretación de la información",NULL,NULL,"2"
"358","55","6","Análisis e interpretación de la información",NULL,NULL,"2"
"359","55","3","Análisis e interpretación de la información",NULL,NULL,"2"
"360","55","40","Análisis e interpretación de la información",NULL,NULL,"2"
"361","55","4","Análisis e interpretación de la información",NULL,NULL,"2"
"362","56","63","Técnicas e instrumentos",NULL,NULL,"2"
"363","56","1","Técnicas e instrumentos",NULL,NULL,"2"
"364","56","32","Técnicas e instrumentos",NULL,NULL,"2"
"365","56","16","Técnicas e instrumentos",NULL,NULL,"12"
"366","56","2","Análisis e interpretación de la información",NULL,NULL,"2"
"367","56","3","Análisis e interpretación de la información",NULL,NULL,"2"
"368","56","4","Análisis e interpretación de la información",NULL,NULL,"2"
"369","56","42","Análisis e interpretación de la información",NULL,NULL,"2"
"370","57","1","Técnicas e instrumentos",NULL,NULL,"1"
"371","57","63","Técnicas e instrumentos",NULL,NULL,"2"
"372","57","2","Población y muestra",NULL,NULL,"2"
"373","57","2","Análisis e interpretación de la información",NULL,NULL,"2"
"374","57","12","Análisis e interpretación de la información",NULL,NULL,"2"
"375","57","11","Análisis e interpretación de la información",NULL,NULL,"2"
"376","58","9","Técnicas e instrumentos",NULL,NULL,"2"
"377","58","1","Técnicas e instrumentos",NULL,NULL,"1"
"378","58","3","Análisis e interpretación de la información",NULL,NULL,"2"
"379","58","5","Análisis e interpretación de la información",NULL,NULL,"2"
"380","58","14","Anexos",NULL,NULL,"2"
"381","58","64","Anexos",NULL,NULL,"7"
"382","59","1","Técnicas e instrumentos",NULL,NULL,"1"
"383","59","18","Técnicas e instrumentos",NULL,NULL,"2"
"384","59","63","Técnicas e instrumentos",NULL,NULL,"2"
"385","59","2","Población y muestra",NULL,NULL,"2"
"386","59","12","Análisis e interpretación de la información",NULL,NULL,"2"
"387","59","11","Análisis e interpretación de la información",NULL,NULL,"2"
"388","60","1","Técnicas e instrumentos",NULL,NULL,"1"
"389","60","63","Técnicas e instrumentos",NULL,NULL,"2"
"390","60","2","Análisis e interpretación de la información",NULL,NULL,"2"
"391","60","13","Análisis e interpretación de la información",NULL,NULL,"22"
"392","61","9","Técnicas e instrumentos",NULL,NULL,"2"
"393","61","10","Técnicas e instrumentos",NULL,NULL,"2"
"394","61","63","Técnicas e instrumentos",NULL,NULL,"2"
"395","61","22","Técnicas e instrumentos",NULL,NULL,"2"
"396","61","16","Técnicas e instrumentos",NULL,NULL,"2"
"397","61","34","Técnicas e instrumentos",NULL,NULL,"2"
"398","61","1","Técnicas e instrumentos",NULL,NULL,"2"
"399","61","32","Técnicas e instrumentos",NULL,NULL,"2"
"400","61","12","Análisis e interpretación de la información",NULL,NULL,"2"
"401","61","13","Análisis e interpretación de la información",NULL,NULL,"24"
"402","61","2","Análisis e interpretación de la información",NULL,NULL,"2"
"403","61","11","Análisis e interpretación de la información",NULL,NULL,"2"
"404","62","1","Técnicas e instrumentos",NULL,NULL,"2"
"405","62","63","Técnicas e instrumentos",NULL,NULL,"2"
"406","62","2","Análisis e interpretación de la información",NULL,NULL,"2"
"407","62","12","Análisis e interpretación de la información",NULL,NULL,"2"
"408","62","11","Análisis e interpretación de la información",NULL,NULL,"2"
"409","63","1","Técnicas e instrumentos",NULL,NULL,"2"
"410","63","63","Técnicas e instrumentos",NULL,NULL,"2"
"411","63","37","Población y muestra",NULL,NULL,"2"
"412","63","2","Población y muestra",NULL,NULL,"2"
"413","63","12","Análisis e interpretación de la información",NULL,NULL,"2"
"414","63","11","Análisis e interpretación de la información",NULL,NULL,"2"
"415","64","1","Técnicas e instrumentos",NULL,NULL,"2"
"416","64","2","Población y muestra",NULL,NULL,"2"
"417","64","2","Análisis e interpretación de la información",NULL,NULL,"2"
"418","64","12","Análisis e interpretación de la información",NULL,NULL,"2"
"419","64","11","Análisis e interpretación de la información",NULL,NULL,"2"
"420","65","1","Técnicas e instrumentos",NULL,NULL,"1"
"421","65","22","Técnicas e instrumentos",NULL,NULL,"2"
"422","65","21","Técnicas e instrumentos",NULL,NULL,"2"
"423","65","2","Población y muestra",NULL,NULL,"2"
"424","65","12","Análisis e interpretación de la información",NULL,NULL,"2"
"425","65","11","Análisis e interpretación de la información",NULL,NULL,"2"
"426","65","2","Análisis e interpretación de la información",NULL,NULL,"2"
"427","65","16","Anexos",NULL,NULL,"23"
"428","65","33","Anexos",NULL,NULL,"2"
"429","66","12","Análisis e interpretación de la información",NULL,NULL,"2"
"430","66","11","Análisis e interpretación de la información",NULL,NULL,"2"
"431","66","2","Análisis e interpretación de la información",NULL,NULL,"2"
"432","67","1","Técnicas e instrumentos",NULL,NULL,"1"
"433","67","12","Análisis e interpretación de la información",NULL,NULL,"2"
"434","67","13","Análisis e interpretación de la información",NULL,NULL,"16"
"435","67","2","Análisis e interpretación de la información",NULL,NULL,"2"
"436","67","11","Análisis e interpretación de la información",NULL,NULL,"2"
"437","68","1","Técnicas e instrumentos",NULL,NULL,"1"
"438","68","2","Población y muestra",NULL,NULL,"2"
"439","68","2","Análisis e interpretación de la información",NULL,NULL,"2"
"440","68","12","Análisis e interpretación de la información",NULL,NULL,"2"
"441","68","11","Análisis e interpretación de la información",NULL,NULL,"2"
"442","68","63","Anexos",NULL,NULL,"2"
"443","69","1","Técnicas e instrumentos",NULL,NULL,"2"
"444","69","16","Técnicas e instrumentos",NULL,NULL,"12"
"445","69","34","Técnicas e instrumentos",NULL,NULL,"2"
"446","69","63","Técnicas e instrumentos",NULL,NULL,"2"
"447","69","32","Técnicas e instrumentos",NULL,NULL,"2"
"448","69","2","Población y muestra",NULL,NULL,"2"
"449","69","2","Análisis e interpretación de la información",NULL,NULL,"2"
"450","69","12","Análisis e interpretación de la información",NULL,NULL,"2"
"451","69","11","Análisis e interpretación de la información",NULL,NULL,"2"
"452","69","65","Análisis e interpretación de la información",NULL,NULL,"2"
