"tecnica_id","created_at","updated_at","tecnica_name","tecnica_desc"
"82",NULL,NULL,"Especificidad","Es la probabilidad de clasificar correctamente a un individuo sano, es decir, la probabilidad de que para un sujeto sano se obtenga un resultado negativo. En otras palabras, se puede definir la especificidad como la capacidad para detectar a los sanos.  fracción de verdaderos negativos (FVN)

\[Especificidad=\frac{VN}{VN+FP}\]

\(VN\): Verdadero negativo,
\(FP\): Falso positivo"
"83",NULL,NULL,"Análisis de Covarianza (ANCOVA)","vacio"
"84",NULL,NULL,"Corrección de Bonferroni","vacio"
"85",NULL,NULL,"Contrastes de Helmert","vacio"
"86",NULL,NULL,"Análisis de correspondencias","vacio"
"87",NULL,NULL,"Prueba de Duncan","vacio"
"88",NULL,NULL,"Regresión logística","vacio"
"89",NULL,NULL,"Prueba de McNemar","vacio"
"90",NULL,NULL,"Valor predictivo positivo","\[VPP=\frac{VP}{VP+FP}\]"
"91",NULL,NULL,"Valor predictivo negativo","\[VPN=\frac{VN}{FN+VN}\]"
"92",NULL,NULL,"Coeficiente kappa de Cohen","vacio"
"93",NULL,NULL,"Rotación oblicua","Usar cuando no se indica específicamente cual es."
"94",NULL,NULL,"Root mean square residual (RMR)","vacio"
"95",NULL,NULL,"Normed fit index (NFI)","vacio"
"96",NULL,NULL,"Goodness of fit index (GFI)","vacio"
"97",NULL,NULL,"Tucker-Lewis index (TLI)","vacio"
"98",NULL,NULL,"Tau c de Kendall","vacio"
"99",NULL,NULL,"Índice de rotación de personal (IRP)","\[IRP=  \frac{100\frac{A+D}{2}}{EM}\]

\(A\): Admisiones de personal en el área considerada dentro del periodo considerado.
<br>
\(D\): Desvinculación de personal en el área considerada dentro del periodo considerada. 
<br>
\(EM\): Efectivo medio del área dentro del periodo considerado. Puede ser obtenido por la 
suma de los efectivos existentes en la iniciación y en la finalización del periodo, dividida 
por dos."
"100",NULL,NULL,"Índice de rotación de personal (IRP) (Con recepción y transferencia de subsistemas)","\[IRP=  \frac{100\frac{A+D}{2}+R+T}{EM}\]
\(R\): Recepción de personal por transferencia de otros subsistemas 

\(T\): Transferencias de personal para otros subsistemas."
"101",NULL,NULL,"Satorra-Bentler-scaled chi-square statistic (SB-χ2)","vacio"
"102",NULL,NULL,"Incremental Fit Index (IFI)","vacio"
"103",NULL,NULL,"Lambda de Wilks","vacio"
"104",NULL,NULL,"Coeficiente Omega (ω)","vacio"
"105",NULL,NULL,"Ecuación de la muestra (Versión 1)","\[n =  \frac{Nz^2}{4Ne^2+z^2}\]"
"106",NULL,NULL,"Prueba de igualdad de varianzas de Levene","vacio"
"107",NULL,NULL,"𝑡 de Student para muestras independientes asumiendo varianzas poblacionales diferentes","vacio"
"108",NULL,NULL,"α ordinal","vacio"
"109",NULL,NULL,"Chi-cuadrado / grados de libertad (χ2/gl)","vacio"
"110",NULL,NULL,"Theta de Armor","vacio"
"111",NULL,NULL,"Correlación biserial-puntual","vacio"
"112",NULL,NULL,"Muestreo probabilístico, estratificado proporcional (Torres, 1998)","\[ n_0 =  \frac{n}{1+ \frac{n-1}{N}} \]

\(n\): Valor de la muestra inicial (preliminar) 

<br>
\(n_0\): Muestra ajustada

<br>
\(N\): Población"
"113",NULL,NULL,"Muestra por estratos (Hernandez, Fernandez y Baptista, 1999, p. 212)","\[ksh=\frac{n}{N}\]"
"114",NULL,NULL,"Fórmula de Rulon","vacio"
"115",NULL,NULL,"Área bajo la curva ROC","Llamada comúnmente AUC (Área Bajo la Curva). También se puede encontrar denominada A' (“a-prima”),​ o el estadístico 'c' (c-statistic)"
"116",NULL,NULL,"Ecuación de la muestra (Versión 2)","\[n_e = \frac{n_e}{N}n\]

<br>

Esta ecuación parece no tener sentido ya que \(n_e\) se cancela en la ecuación."
"117",NULL,NULL,"Standardized root mean squared residual (SRMR)","vacio"
"118",NULL,NULL,"Coeficiente H","El coeficiente H evalúa la confiabilidad del constructo desde el enfoque SEM, dado que puede ser inadecuado el uso de los estimadores de confiabilidad habituales si no se cumplen algunos supuestos básicos."
"119",NULL,NULL,"Índice de Rotación","\(NES\): Número de empleados separados
<br>
\(PEO\): Promedio efectivo de la organización
<br>
\(IR\): Indice de Rotacion
<br>
\[IR=\frac{NES}{PEO}\]"
"120",NULL,NULL,"Test HSD (Honestly-significant-difference) de Tukey","vacio"
"121",NULL,NULL,"V de Cramer","vacio"
"122",NULL,NULL,"Regresión logística binaria","vacio"
"123",NULL,NULL,"Prueba binomial","Utilizada para hallar la validez del instrumento"
"124",NULL,NULL,"Coeﬁciente Angoff-Feldt","vacio"
"125",NULL,NULL,"Ecuación de la muestra para estimar la media","\[n=\frac{N Z^2 \sigma^2}{e^2(N-1)+Z^2 \sigma^2}\]"
"126",NULL,NULL,"Modelo de motivación laboral presentado por Víctor Vroom (1962)","\[Motivación = V \times E \times M\]<br>
\(V\): Valencia
<br>\(E\): Expectativa
<br>\(M\): Medios
<br>"
"127",NULL,NULL,"Productividad (Gaither y Frazier, 2000)","\[ 
Productividad =\frac{ Cantidad \ de \ productos \ o \ servicios realizados}{Cantidad \ de \ recursos \ utilizado}
\]"
"128",NULL,NULL,"Escala Stanones","vacio"
"129",NULL,NULL,"Chi Cuadrada con residuos tipificados","vacio"
"130",NULL,NULL,"Normalización Promax con Kaiser","vacio"
"131",NULL,NULL,"Motivación de logro y las expectativas  x valor (Atkinson, 1957 citado en Schunk, 1997)","\[Ts = Ms \times Ps  \times Is\]

\[Taf = Maf  \times Pf  \times (-Is)\]

\[Ta = Ts –Taf\]
<br>
\(Ts\): Tendencia a acercarse a una meta relacionada con los logros
<br>
\(Ms\): Motivo para tener éxito (Motivación  de  logro)
<br>
\(Ps\): Probabilidad subjetiva de éxito 
<br>
\(Is\):valor de incentivo del éxito 
<br>
\(Ts\): Tendencia a evitar el fracaso
<br>
\(Taf\): Tendencia  a  evitar  el  fracaso 
<br>
\(Maf\): Motivación  para  evitar  el  fracaso  
<br>
\(Pf\): Probabilidad  del fracaso 
<br>
\(-Is\): Inverso del valor incentivo del éxito 
<br>
\(Ta\): Motivación resultante de logro"
"132",NULL,NULL,"Prueba de Mardia","Normalidad multivariada"
"133",NULL,NULL,"Método Feldt","Comparar los alfa de Cronbach de las escalas totales a fin de encontrar diferencias significativas entre ellos"
"134",NULL,NULL,"Método de máxima verosimilitud","Usado en el análisis factorial exploratorio"
"135",NULL,NULL,"Regla de Sturges","\[k = 1+1.322 \log (N) \]"
"136",NULL,NULL,"Factorización de Ejes Principales (FEP)","vacio"
"137",NULL,NULL,"Adecuación del tamaño de la muestra (Hoelter, 1983)","vacio"
"138",NULL,NULL,"r de Rosenthal","vacio"
